yyyymm,Y,LDP,LEP,DE,svar,bm,ntis,tbl,lty,ltr,dfy,dfr,infl
193507,0.083814,3.23,2.64,-0.59,0.0016800484,0.6393091975,0.0174097747,0.0015,0.0268,0.0046,-0.0211,-0.01,0.0000000000
193508,0.026569,3.25,2.68,-0.57,0.0037749859,0.6336866902,0.0049816151,0.0016,0.0281,-0.0133,-0.0198,-0.01,0.0000000000
193509,0.025526,3.27,2.72,-0.55,0.0024288238,0.6117343845,0.0080266211,0.0020,0.0282,0.0009,-0.0194,0.00,0.0000000000
193510,0.071803,3.32,2.80,-0.52,0.0032591933,0.5775010734,0.0029507271,0.0020,0.0279,0.0061,-0.0202,0.00,0.0000000000
193511,0.051943,3.34,2.84,-0.50,0.0031496826,0.5669523676,0.0022194292,0.0016,0.0280,0.0010,-0.0196,-0.01,0.0072992701
193512,0.039887,3.35,2.87,-0.48,0.0028973664,0.5599111913,0.0086888346,0.0015,0.0276,0.0070,-0.0186,0.00,0.0000000000
193601,0.071832,3.39,2.92,-0.47,0.0018671591,0.5398354405,0.0089077281,0.0020,0.0285,0.0055,-0.0163,0.00,0.0000000000
193602,0.022461,3.39,2.93,-0.46,0.0022225935,0.5290762473,0.0137604535,0.0020,0.0281,0.0081,-0.0148,0.00,0.0000000000
193603,0.024029,3.40,2.94,-0.46,0.0050044798,0.5276960471,0.0134560371,0.0020,0.0275,0.0106,-0.0157,0.00,-0.0072463768
193604,-0.077588,3.28,2.82,-0.46,0.0057607721,0.5663485961,0.0192528710,0.0020,0.0274,0.0035,-0.0162,0.00,0.0000000000
193605,0.053106,3.30,2.83,-0.47,0.0029079379,0.5404874214,0.0186275943,0.0020,0.0273,0.0040,-0.0167,0.00,0.0000000000
193606,0.032542,3.30,2.83,-0.47,0.0015684951,0.5231783880,0.0208134501,0.0020,0.0273,0.0021,-0.0166,-0.01,0.0072992701
193607,0.073442,3.33,2.87,-0.46,0.0015685530,0.5004246027,0.0217469882,0.0015,0.0271,0.0060,-0.0161,0.00,0.0072463768
193608,0.014124,3.30,2.86,-0.44,0.0026195074,0.4961212340,0.0196660344,0.0020,0.0264,0.0111,-0.0153,0.00,0.0071942446
193609,0.004817,3.27,2.84,-0.43,0.0011837587,0.4915981409,0.0213984830,0.0016,0.0268,-0.0031,-0.0144,-0.01,0.0000000000
193610,0.076281,3.28,2.88,-0.40,0.0022244051,0.4657070279,0.0218042270,0.0013,0.0269,0.0006,-0.0136,0.00,0.0000000000
193611,0.010666,3.23,2.86,-0.37,0.0028304004,0.4502783539,0.0228407620,0.0011,0.0257,0.0205,-0.0137,0.01,0.0000000000
193612,-0.003830,3.17,2.82,-0.35,0.0014983745,0.4585881045,0.0252247216,0.0012,0.0255,0.0038,-0.0143,0.00,0.0000000000
193701,0.036648,3.20,2.83,-0.36,0.0015725492,0.4465735628,0.0250032496,0.0017,0.0258,-0.0013,-0.0139,0.00,0.0071428571
193702,0.018483,3.20,2.82,-0.38,0.0013067889,0.4407757653,0.0252076774,0.0015,0.0253,0.0086,-0.0131,0.01,0.0000000000
193703,-0.003511,3.17,2.78,-0.39,0.0031144795,0.4586663806,0.0335068293,0.0038,0.0285,-0.0411,-0.0136,-0.03,0.0070921986
193704,-0.080646,3.05,2.68,-0.37,0.0054667794,0.4906180065,0.0281072644,0.0056,0.0284,0.0039,-0.0142,0.00,0.0070422535
193705,-0.005699,3.00,2.65,-0.35,0.0035930723,0.4893824051,0.0282780631,0.0041,0.0282,0.0053,-0.0151,0.00,0.0069930070
193706,-0.053803,2.91,2.58,-0.33,0.0029841706,0.5049610206,0.0312661665,0.0036,0.0285,-0.0018,-0.0165,-0.01,0.0000000000
193707,0.098991,3.03,2.66,-0.37,0.0029822171,0.4646486604,0.0272249320,0.0028,0.0277,0.0138,-0.0166,0.01,0.0069444444
193708,-0.051183,3.01,2.59,-0.42,0.0021407944,0.4819345020,0.0310644128,0.0029,0.0286,-0.0104,-0.0168,-0.01,0.0000000000
193709,-0.139610,2.88,2.42,-0.46,0.0158211464,0.5531474413,0.0358467256,0.0031,0.0284,0.0045,-0.0188,0.00,0.0068965517
193710,-0.102722,2.76,2.34,-0.42,0.0317222407,0.6174176776,0.0409585636,0.0020,0.0283,0.0042,-0.0225,0.00,0.0000000000
193711,-0.084289,2.64,2.26,-0.38,0.0219733915,0.6924198251,0.0420308074,0.0009,0.0278,0.0096,-0.0258,0.00,-0.0068493151
193712,-0.045828,2.58,2.23,-0.35,0.0069549625,0.7074886223,0.0317754000,0.0011,0.0273,0.0082,-0.0252,0.00,-0.0068965517
193801,0.012163,2.60,2.30,-0.31,0.0097512413,0.7015672438,0.0388017219,0.0010,0.0271,0.0057,-0.0272,0.00,-0.0138888889
193802,0.065757,2.67,2.41,-0.26,0.0077724907,0.6595186671,0.0322477805,0.0008,0.0268,0.0052,-0.0277,0.00,-0.0070422535
193803,-0.254106,2.39,2.17,-0.22,0.0150679420,0.8923698838,0.0338452494,0.0008,0.0273,-0.0037,-0.0308,0.01,0.0000000000
193804,0.142667,2.54,2.37,-0.16,0.0188927247,0.7907934802,0.0271608523,0.0009,0.0259,0.0210,-0.0317,0.01,0.0070921986
193805,-0.039973,2.51,2.41,-0.10,0.0076514340,0.8195656209,0.0299773272,0.0005,0.0257,0.0044,-0.0284,0.00,-0.0070422535
193806,0.253519,2.75,2.71,-0.04,0.0118093088,0.6595458620,0.0167445455,0.0005,0.0259,0.0004,-0.0299,-0.01,0.0000000000
193807,0.074738,2.86,2.85,-0.01,0.0068298756,0.6253541076,0.0170555147,0.0007,0.0257,0.0043,-0.0241,0.00,0.0000000000
193808,-0.025901,2.87,2.89,0.02,0.0059815684,0.6340202484,0.0143082728,0.0006,0.0259,0.0000,-0.0231,0.00,0.0000000000
193809,0.016932,2.92,2.98,0.06,0.0170467064,0.6242488512,0.0118961742,0.0008,0.0259,0.0022,-0.0244,-0.01,0.0000000000
193810,0.078960,3.07,3.05,-0.03,0.0044044304,0.5819547881,0.0079325974,0.0005,0.0254,0.0087,-0.0221,0.00,-0.0070921986
193811,-0.026207,3.12,3.00,-0.12,0.0046441678,0.5893739154,0.0085352672,0.0004,0.0257,-0.0022,-0.0213,-0.01,0.0000000000
193812,0.044810,3.25,3.03,-0.23,0.0022909395,0.5720393884,0.0057217127,0.0003,0.0252,0.0080,-0.0219,0.00,0.0000000000
193901,-0.070506,3.18,2.92,-0.26,0.0072954961,0.6142181413,-0.0036013643,0.0003,0.0249,0.0059,-0.0211,0.00,0.0000000000
193902,0.039292,3.20,2.92,-0.28,0.0032916439,0.5994568907,0.0006149354,0.0003,0.0245,0.0080,-0.0205,0.00,-0.0071428571
193903,-0.134821,3.05,2.74,-0.31,0.0085387031,0.6606492718,-0.0012606856,0.0003,0.0237,0.0125,-0.0190,0.01,0.0000000000
193904,-0.006611,3.04,2.71,-0.33,0.0092032923,0.6784545879,-0.0018831933,0.0003,0.0229,0.0118,-0.0213,0.01,-0.0071942446
193905,0.069557,3.09,2.75,-0.34,0.0035590915,0.6303372413,-0.0023543238,0.0003,0.0217,0.0171,-0.0210,0.01,0.0000000000
193906,-0.061810,3.02,2.66,-0.36,0.0032023428,0.6667687361,-0.0000863519,0.0003,0.0221,-0.0027,-0.0199,-0.01,0.0000000000
193907,0.111310,3.10,2.74,-0.36,0.0043046092,0.6079854809,-0.0015621881,0.0004,0.0213,0.0113,-0.0195,0.01,0.0000000000
193908,-0.067551,3.01,2.65,-0.37,0.0071372431,0.6480172606,-0.0030065253,0.0005,0.0231,-0.0201,-0.0192,0.02,0.0000000000
193909,0.181167,3.15,2.78,-0.37,0.0156839071,0.5800479489,-0.0021095516,0.0014,0.0278,-0.0545,-0.0175,-0.07,0.0217391304
193910,-0.016887,3.10,2.73,-0.37,0.0018467448,0.5734790624,-0.0018527882,0.0005,0.0247,0.0410,-0.0173,0.02,-0.0070921986
193911,-0.040532,3.01,2.64,-0.37,0.0012842376,0.5978447388,-0.0016991367,0.0005,0.0236,0.0162,-0.0185,0.01,0.0000000000
193912,0.028177,3.00,2.63,-0.37,0.0010730021,0.5807053804,0.0025507841,0.0004,0.0226,0.0145,-0.0198,0.01,0.0000000000
194001,-0.035927,2.96,2.56,-0.40,0.0014780456,0.5993256726,0.0077727052,0.0001,0.0229,-0.0017,-0.0198,-0.01,-0.0071428571
194002,0.013139,2.96,2.54,-0.43,0.0004895058,0.5943769619,0.0048402619,0.0002,0.0228,0.0027,-0.0197,0.00,0.0071942446
194003,0.013561,2.97,2.52,-0.45,0.0007091118,0.6479598753,0.0056787088,0.0002,0.0215,0.0177,-0.0196,0.01,0.0000000000
194004,-0.004478,2.95,2.49,-0.46,0.0011922770,0.6440746480,0.0058486658,0.0002,0.0220,-0.0035,-0.0192,0.01,0.0000000000
194005,-0.231480,2.67,2.20,-0.46,0.0186685676,0.8225778696,0.0066101852,0.0006,0.0246,-0.0299,-0.0201,-0.03,0.0000000000
194006,0.083035,2.73,2.26,-0.47,0.0097970174,0.7832213665,0.0063697907,0.0010,0.0227,0.0258,-0.0215,0.01,0.0071428571
194007,0.033090,2.75,2.28,-0.47,0.0013236754,0.7578880609,0.0081091893,0.0005,0.0224,0.0052,-0.0192,0.00,-0.0070921986
194008,0.035421,2.77,2.29,-0.48,0.0035608428,0.7417752948,0.0090864626,0.0004,0.0223,0.0028,-0.0191,0.00,0.0000000000
194009,0.014221,2.77,2.29,-0.48,0.0029438369,0.7207478890,0.0096469388,0.0005,0.0215,0.0110,-0.0184,0.00,0.0000000000
194010,0.041468,2.81,2.34,-0.47,0.0014650609,0.7101998366,0.0094148326,0.0002,0.0214,0.0031,-0.0177,0.00,0.0000000000
194011,-0.029431,2.76,2.30,-0.46,0.0059142110,0.7352149504,0.0101576525,0.0002,0.0199,0.0205,-0.0173,0.01,0.0000000000
194012,0.002927,2.76,2.31,-0.45,0.0005078424,0.7290475101,0.0125891885,0.0002,0.0194,0.0067,-0.0174,0.01,0.0071428571
194101,-0.045555,2.71,2.26,-0.45,0.0018551123,0.7701603158,0.0108534140,0.0002,0.0213,-0.0201,-0.0163,-0.02,0.0000000000
194102,-0.004729,2.69,2.24,-0.45,0.0027518140,0.7837992949,0.0107702342,0.0004,0.0213,0.0020,-0.0164,0.00,0.0000000000
194103,0.008872,2.68,2.24,-0.44,0.0013646264,0.8042698827,0.0100605750,0.0011,0.0206,0.0096,-0.0158,0.01,0.0070921986
194104,-0.062152,2.61,2.16,-0.45,0.0017671007,0.8542496105,0.0104815348,0.0010,0.0196,0.0129,-0.0151,0.01,0.0070422535
194105,0.013184,2.61,2.16,-0.45,0.0015744619,0.8491783533,0.0099236032,0.0011,0.0195,0.0027,-0.0151,0.00,0.0069930070
